sleeper_id,sleeper_name,yahoo_id,yahoo_name,espn_id,espn_name,cbs_id,cbs_name,hashtag_id,hashtag_name,fantrax_id,fantrax_name,nba_id
1950,Robert Williams III,6038,Robert Williams III,4066211,Robert Williams III,2268547,Robert Williams III,15224,Robert Williams III,'04qs4,Robert Williams,1629057
1809,John Collins,5832,John Collins,3908845,John Collins,2842788,John Collins,13737,John Collins,'04ewk,John Collins,1628381
1319,Jonas Valančiūnas,4886,Jonas Valanciunas,6477,Jonas Valanciunas,1831124,Jonas Valanciunas,9491,Jonas Valanciunas,'027oo,Jonas Valanciunas,202685
1600,Christian Wood,5583,Christian Wood,3058254,Christian Wood,2198707,Christian Wood,9427,Christian Wood,'03nwq,Christian Wood,
2566,Ausar Thompson,10096,Ausar Thompson,4684742,Ausar Thompson,29005044,Ausar Thompson,111205,Ausar Thompson,'06ccf,Ausar Thompson,1641709
1585,Aaron Gordon,5295,Aaron Gordon,3064290,Aaron Gordon,2135532,Aaron Gordon,9406,Aaron Gordon,'03al0,Aaron Gordon,203932
2091,Cameron Johnson,6173,Cameron Johnson,3138196,Cameron Johnson,2152772,Cameron Johnson,17197,Cameron Johnson,'051or,Cameron Johnson,1629661
1546,Marcus Smart,5317,Marcus Smart,2990992,Marcus Smart,2135563,Marcus Smart,9102,Marcus Smart,'03al1,Marcus Smart,203935
1913,Miles Bridges,6023,Miles Bridges,4066383,Miles Bridges,2355084,Miles Bridges,15209,Miles Bridges,'04qrp,Miles Bridges,1628970
1892,Collin Sexton,6019,Collin Sexton,4277811,Collin Sexton,2891955,Collin Sexton,15205,Collin Sexton,'04qrm,Collin Sexton,1629012
2286,Herbert Jones,6577,Herbert Jones,4277813,Herbert Jones,2891952,Herbert Jones,31064,Herbert Jones,'05uj9,Herbert Jones,1630529
2435,Bennedict Mathurin,6696,Bennedict Mathurin,4683634,Bennedict Mathurin,3178537,Bennedict Mathurin,38940,Bennedict Mathurin,'06215,Bennedict Mathurin,1631097
1487,Tobias Harris,4901,Tobias Harris,6440,Tobias Harris,1780830,Tobias Harris,9212,Tobias Harris,'027p4,Tobias Harris,202699
1727,Malcolm Brogdon,5667,Malcolm Brogdon,2566769,Malcolm Brogdon,1905262,Malcolm Brogdon,10127,Malcolm Brogdon,'042nw,Malcolm Brogdon,1627763
1707,Buddy Hield,5637,Buddy Hield,2990984,Buddy Hield,2019264,Buddy Hield,10136,Buddy Hield,'042n3,Buddy Hield,1627741
1718,Jakob Poeltl,5640,Jakob Poeltl,3134908,Jakob Poeltl,2153012,Jakob Poeltl,10122,Jakob Poeltl,'042n6,Jakob Poeltl,1627751
2438,Jalen Duren,6703,Jalen Duren,4433621,Jalen Duren,26776364,Jalen Duren,38848,Jalen Duren,'0621c,Jalen Duren,1631105
2316,Austin Reaves,6606,Austin Reaves,4066457,Austin Reaves,2268681,Austin Reaves,35041,Austin Reaves,'05uus,Austin Reaves,1630559
1830,Derrick White,5842,Derrick White,3078576,Derrick White,2844730,Derrick White,13755,Derrick White,'04ewt,Derrick White,1628401
1982,Gary Trent Jr.,6048,Gary Trent Jr.,4277843,Gary Trent Jr.,2892264,Gary Trent Jr.,15355,Gary Trent Jr.,'04qse,Gary Trent,1629018
2563,Jarace Walker,10103,Jarace Walker,5106060,Jarace Walker,28954646,Jarace Walker,109468,Jarace Walker,'06cab,Jarace Walker,1641716
2305,Jalen Suggs,6516,Jalen Suggs,4432165,Jalen Suggs,3177410,Jalen Suggs,31034,Jalen Suggs,'05uif,Jalen Suggs,1630591
1676,Ben Simmons,5600,Ben Simmons,3907387,Ben Simmons,2202822,Ben Simmons,10087,Ben Simmons,'03lg1,Ben Simmons,1627732
2131,Saddiq Bey,6411,Saddiq Bey,4397136,Saddiq Bey,3041123,Saddiq Bey,27593,Saddiq Bey,'05qt0,Saddiq Bey,1630180
2590,Anthony Black,10095,Anthony Black,4712849,Anthony Black,28955672,Anthony Black,111206,Anthony Black,'06cc5,Anthony Black,1641710
2136,Onyeka Okongwu,6398,Onyeka Okongwu,4431680,Onyeka Okongwu,3141774,Onyeka Okongwu,27342,Onyeka Okongwu,'05qtt,Onyeka Okongwu,1630168
1589,Bobby Portis,5482,Bobby Portis,3064482,Bobby Portis,2103804,Bobby Portis,9151,Bobby Portis,'03nwn,Bobby Portis,1626171
1803,Josh Hart,5843,Josh Hart,3062679,Josh Hart,2105193,Josh Hart,13756,Josh Hart,'04ewu,Josh Hart,1628404
